dataset,model_name,distance_frac_step,clean_data,optimized_mode_ratio,butter_Wn,dist_error,dir_error,dir_ratio
../test_case0,SVR,3,4,0.8,0.02,26.453789867231187,13.74160489535352,0.8410351201478743
../test_case0,SVR,3,4,0.8,0.03,25.41800388729285,17.780974821622408,0.8022181146025879
../test_case0,SVR,3,4,0.8,0.05,42.12375564017056,20.94276468039163,0.7726432532347505
../test_case0,SVR,3,4,0.8,0.08,61.712118376510375,23.523014596705536,0.7412199630314233
../test_case0,SVR,3,4,0.8,0.1,62.97602621073999,23.968968131336343,0.7264325323475046
../test_case0,SVR,3,4,0.9,0.001,48.02495478554554,8.285976656815118,0.8983364140480592
../test_case0,SVR,3,4,0.9,0.002,47.78813009917676,7.330785010812086,0.9463955637707948
../test_case0,SVR,3,4,0.9,0.005,42.441613485555145,10.110900512025415,0.911275415896488
../test_case0,SVR,3,4,0.9,0.01,36.28265213998963,11.393792865933307,0.8872458410351202
../test_case0,SVR,3,4,0.9,0.02,26.84586147831974,12.49246666103358,0.8632162661737524
../test_case0,SVR,3,4,0.9,0.03,18.73880294575449,16.002395056027332,0.8188539741219963
../test_case0,SVR,3,4,0.9,0.05,24.182958785178826,17.92386068406305,0.800369685767098
../test_case0,SVR,3,4,0.9,0.08,42.601048778318656,20.441903799454074,0.7707948243992606
../test_case0,SVR,3,4,0.9,0.1,44.60449530646594,20.99881376680964,0.756007393715342
../test_case0,SVR,3,4,1.0,0.001,49.546454665162095,8.313446728481837,0.9001848428835489
../test_case0,SVR,3,4,1.0,0.002,48.360880048234854,7.348507456520844,0.944547134935305
../test_case0,SVR,3,4,1.0,0.005,41.13102008592592,9.15119414863205,0.911275415896488
../test_case0,SVR,3,4,1.0,0.01,36.18476247610462,10.85629793119686,0.8927911275415896
../test_case0,SVR,3,4,1.0,0.02,34.93770913135276,11.406722296676858,0.8761552680221811
../test_case0,SVR,3,4,1.0,0.03,21.603740214658323,14.20038279164722,0.8391866913123844
../test_case0,SVR,3,4,1.0,0.05,16.499666667132,15.994264437317824,0.8262476894639557
../test_case0,SVR,3,4,1.0,0.08,25.125315519178148,18.179109499215304,0.7966728280961183
../test_case0,SVR,3,4,1.0,0.1,27.60510535869243,18.583692874189595,0.7855822550831792
../test_case0,SVR,3,5,0.0,0.001,42.098818485057286,10.18735054108254,0.8687615526802218
../test_case0,SVR,3,5,0.0,0.002,39.912168135847196,9.849432588360676,0.8946395563770795
../test_case0,SVR,3,5,0.0,0.005,36.04665593861953,11.396099121657196,0.88909426987061
../test_case0,SVR,3,5,0.0,0.01,35.15652801666795,15.38119612174453,0.8114602587800369
../test_case0,SVR,3,5,0.0,0.02,37.18129463370229,19.046065127826406,0.7504621072088724
../test_case0,SVR,3,5,0.0,0.03,49.268772143301156,23.28626399399221,0.7153419593345656
../test_case0,SVR,3,5,0.0,0.05,111.77202996716427,33.06925703301166,0.6598890942698706
../test_case0,SVR,3,5,0.0,0.08,134.2131725748104,36.959559763657715,0.6247689463955638
../test_case0,SVR,3,5,0.0,0.1,133.32965848120452,37.15698169859306,0.6155268022181146
../test_case0,SVR,3,5,0.1,0.001,42.17836483144213,9.618904934684602,0.8706099815157117
../test_case0,SVR,3,5,0.1,0.002,38.378327793301274,9.16529300981611,0.9020332717190388
../test_case0,SVR,3,5,0.1,0.005,33.729543833516175,12.057316819740674,0.8817005545286506
../test_case0,SVR,3,5,0.1,0.01,30.567376439200114,15.33242223892007,0.8207024029574861
../test_case0,SVR,3,5,0.1,0.02,39.57398867279743,18.968664709782807,0.767097966728281
../test_case0,SVR,3,5,0.1,0.03,55.75083970695539,23.934729027911075,0.7412199630314233
../test_case0,SVR,3,5,0.1,0.05,114.66096166998426,34.31133427919147,0.6561922365988909
../test_case0,SVR,3,5,0.1,0.08,134.7654515256241,37.79269435908623,0.6266173752310537
../test_case0,SVR,3,5,0.1,0.1,133.79953908758642,38.17700193784444,0.6118299445471349
../test_case0,SVR,3,5,0.2,0.001,42.724035294253206,9.643265609008205,0.88909426987061
../test_case0,SVR,3,5,0.2,0.002,38.553452600949846,8.953881166406585,0.9131238447319778
../test_case0,SVR,3,5,0.2,0.005,31.391713680686678,12.404742697254374,0.878003696857671
../test_case0,SVR,3,5,0.2,0.01,32.261358828591874,15.260735829059994,0.8280961182994455
../test_case0,SVR,3,5,0.2,0.02,33.52850281997969,19.60699261421344,0.7763401109057301
../test_case0,SVR,3,5,0.2,0.03,56.526262977891285,25.098350938259887,0.7375231053604436
../test_case0,SVR,3,5,0.2,0.05,110.72093572584724,33.59611264748156,0.6598890942698706
../test_case0,SVR,3,5,0.2,0.08,136.79474083142802,38.23329972819918,0.6081330868761553
../test_case0,SVR,3,5,0.2,0.1,137.54782479207498,38.57297020720737,0.5951940850277264
../test_case0,SVR,3,5,0.4,0.001,41.50246702154704,8.912311570184432,0.8872458410351202
../test_case0,SVR,3,5,0.4,0.002,38.38974415216648,9.353541390207138,0.9168207024029574
../test_case0,SVR,3,5,0.4,0.005,32.85185776582877,12.008236963548903,0.8853974121996303
../test_case0,SVR,3,5,0.4,0.01,28.04961057256135,15.413796590867392,0.833641404805915
../test_case0,SVR,3,5,0.4,0.02,30.858383537090806,20.08345255224979,0.7855822550831792
../test_case0,SVR,3,5,0.4,0.03,47.17647240760454,24.718444740542477,0.756007393715342
../test_case0,SVR,3,5,0.4,0.05,108.2705834549131,33.53557777561908,0.6728280961182994
../test_case0,SVR,3,5,0.4,0.08,123.94363022318323,36.506200236440286,0.6487985212569316
../test_case0,SVR,3,5,0.4,0.1,123.9874550159899,36.90209270378536,0.6395563770794824
../test_case0,SVR,3,5,0.5,0.001,39.60130364298717,9.518328004943019,0.8835489833641405
../test_case0,SVR,3,5,0.5,0.002,39.7227106157788,8.764054577397062,0.9186691312384473
../test_case0,SVR,3,5,0.5,0.005,30.86790838118831,10.68553220280245,0.8964879852125693
../test_case0,SVR,3,5,0.5,0.01,26.765412096130593,14.967150411426935,0.8373382624768947
../test_case0,SVR,3,5,0.5,0.02,25.38458433328599,19.453767302223053,0.7948243992606284
../test_case0,SVR,3,5,0.5,0.03,46.01059565357413,24.0072994132446,0.7523105360443623
../test_case0,SVR,3,5,0.5,0.05,96.93740821502494,31.970144715225896,0.6857670979667283
../test_case0,SVR,3,5,0.5,0.08,115.64833706076473,34.750168885467716,0.6617375231053605
../test_case0,SVR,3,5,0.5,0.1,114.4814251808414,35.05597537669652,0.6543438077634011
../test_case0,SVR,3,5,0.6,0.001,41.66012589745269,8.67382649015369,0.8872458410351202
